unit_id,free_time,location
20237,2021-02-27 00:00:00,35597
19912,2021-02-27 00:00:00,35823
20243,2021-02-27 00:00:00,35598
32580,2021-02-27 00:00:00,37773
20204,2021-02-27 00:00:00,35130
36147,2021-02-27 00:00:00,35029
34102,2021-02-27 00:00:00,36889
35535,2021-02-27 00:00:00,35130
31788,2021-02-27 00:00:00,34657
28133,2021-02-27 00:00:00,37761
21872,2021-02-27 00:00:00,35761
35207,2021-02-27 00:00:00,34579
24026,2021-02-27 00:00:00,35598
20910,2021-02-27 00:00:00,35551
35265,2021-02-27 00:00:00,35597
37918,2021-02-27 00:00:00,35596
32632,2021-02-27 00:00:00,34470
18025,2021-02-27 00:00:00,35011
16901,2021-02-27 00:00:00,33700
27651,2021-02-27 00:00:00,35064
20150,2021-02-27 00:00:00,35552
44704,2021-02-27 00:00:00,34169
28131,2021-02-27 00:00:00,35590
20540,2021-02-27 00:00:00,35581
18030,2021-02-27 00:00:00,34622
17209,2021-02-27 00:00:00,38541
34120,2021-02-27 00:00:00,34649
21914,2021-02-27 00:00:00,35753
41518,2021-02-27 00:00:00,35581
32416,2021-02-27 00:00:00,35596
27826,2021-02-27 00:00:00,37756
22420,2021-02-27 00:00:00,37750
29396,2021-02-27 00:00:00,35596
37314,2021-02-27 00:00:00,36461
41580,2021-02-27 00:00:00,34180
17457,2021-02-27 00:00:00,34231
18317,2021-02-27 11:46:00,34231
17582,2021-02-27 11:46:00,34231
17512,2021-02-27 11:46:00,34231
41319,2021-02-27 00:00:00,34576
36314,2021-02-27 00:00:00,36025
44252,2021-02-27 00:00:00,36889
16788,2021-02-27 00:00:00,33703
20605,2021-02-27 00:00:00,37725
33672,2021-02-27 00:00:00,36889
40096,2021-02-27 00:00:00,35597
22710,2021-02-27 00:00:00,35009
44722,2021-02-27 00:00:00,34138
18785,2021-02-27 00:00:00,34823
18090,2021-02-27 00:00:00,37090
24873,2021-02-27 00:00:00,34176
27681,2021-02-27 16:19:00,35552
20583,2021-02-27 00:00:00,35597
36648,2021-02-27 00:00:00,35597
44719,2021-02-27 00:00:00,35454
21160,2021-02-27 00:00:00,35596
25917,2021-02-27 00:00:00,34231
19936,2021-02-27 00:00:00,35402
27673,2021-02-27 00:00:00,39181
20067,2021-02-27 00:00:00,35383
26409,2021-02-27 00:00:00,34978
30058,2021-02-27 00:00:00,35597
39386,2021-02-27 00:00:00,35596
44751,2021-02-27 00:00:00,36889
20821,2021-02-27 00:00:00,35597
44752,2021-02-27 00:00:00,35596
42322,2021-02-27 12:06:00,35596
20766,2021-02-27 00:00:00,35596
22945,2021-02-27 00:00:00,35597
19933,2021-02-27 00:00:00,35380
44724,2021-02-27 00:00:00,35011
20822,2021-02-27 00:00:00,35596
28313,2021-02-27 00:00:00,35584
20069,2021-02-27 00:00:00,35414
19799,2021-02-27 00:00:00,35400
20227,2021-02-27 09:12:00,35555
18264,2021-02-27 00:00:00,34619
32249,2021-02-27 00:00:00,35596
44728,2021-02-27 00:00:00,34619
20616,2021-02-27 00:00:00,35597
38298,2021-02-27 00:00:00,35596
44747,2021-02-27 00:00:00,36188
21900,2021-02-27 00:00:00,35389
23316,2021-02-27 00:00:00,37741
17497,2021-02-27 00:00:00,34313
38664,2021-02-27 00:00:00,35596
20283,2021-02-27 00:00:00,34313
23844,2021-02-27 00:00:00,34394
25672,2021-02-27 00:00:00,35596
17695,2021-02-27 00:00:00,34462
21168,2021-02-27 08:58:00,37747
31789,2021-02-27 00:00:00,35584
35413,2021-02-27 00:00:00,34657
33646,2021-02-27 00:00:00,35027
21522,2021-02-27 00:00:00,35401
24175,2021-02-27 00:00:00,36889
20261,2021-02-27 00:00:00,35596
20262,2021-02-27 09:13:00,35553
16518,2021-02-27 15:04:00,33704
19056,2021-02-27 00:00:00,33936
41346,2021-02-27 06:43:00,37874
21175,2021-02-28 03:15:00,37726
37815,2021-02-27 00:00:00,36889
19569,2021-02-27 00:00:00,34774
16436,2021-02-27 00:00:00,33733
16432,2021-02-27 00:00:00,34603
31236,2021-02-27 00:00:00,35598
31192,2021-02-27 00:00:00,35596
21915,2021-02-27 00:00:00,35753
21875,2021-02-27 00:00:00,35761
21869,2021-02-27 00:00:00,35753
44774,2021-02-27 00:00:00,39053
20068,2021-02-27 00:00:00,35421
35983,2021-02-27 00:00:00,37570
21521,2021-02-27 00:00:00,35377
44819,2021-02-27 00:00:00,35596
35522,2021-02-27 00:00:00,35596
36141,2021-02-27 00:00:00,33716
41314,2021-02-27 00:00:00,34142
37885,2021-02-27 00:00:00,36889
26411,2021-02-27 00:00:00,35597
23271,2021-02-27 00:00:00,35596
38015,2021-02-27 00:00:00,38323
24172,2021-02-27 00:00:00,38041
27453,2021-02-27 00:00:00,33704
20867,2021-02-27 00:00:00,35596
30044,2021-02-27 00:00:00,34709
41442,2021-02-27 00:00:00,34585
31286,2021-02-27 00:00:00,35597
20652,2021-02-27 00:00:00,35596
37550,2021-02-27 00:00:00,35596
17519,2021-02-27 00:00:00,38045
44821,2021-02-27 00:00:00,36889
44794,2021-02-27 00:00:00,35449
44792,2021-02-27 00:00:00,34593
19808,2021-02-27 00:00:00,35367
41590,2021-02-27 00:00:00,37773
33273,2021-02-27 00:00:00,35597
21176,2021-02-27 12:08:00,35596
22941,2021-02-27 00:00:00,36889
29397,2021-02-27 05:44:00,36889
25143,2021-02-27 00:00:00,34656
39088,2021-02-27 00:00:00,34619
44820,2021-02-27 00:00:00,36889
44801,2021-02-27 00:00:00,34666
21037,2021-02-27 00:00:00,35597
