"VIAJEID","UBICACIONORIGENID","UBICACION_ORIGEN","DESC_UBICACION_ORI","LOCALIDAD_ORI","LATITUD_ORI","LONGITUD_ORI","UBICACIONDESTINOID","UBICACION_DESTINO","DESC_UBICACION_DEST","LOCALIDAD_DEST","LATITUD_DEST","LONGITUD_DEST","DEMORAINICIO","DURACIONVIAJE","HORARIOINICIOID","HI_COMPLETO","TIEMPOINICIOID","HORARIOINICIOREALID","HR_COMPLETO","TIEMPOINICIOREALID","HORARIOFINID","HF_COMPLETO","TIEMPOFINID","UNIDADID","TIPOUNIDADID","TIPOUNIDAD"
208483,33704,"JUAN DE LA BARRERA","AMSA/ PLANTA/ GUADALAJARA","LAS JUNTAS GUADALAJARA",20.6192,-103.3385,33690,"JOSE LOPEZ PORTILLO","AMSA/ SIMILARES CEDIS 914/ TULTITLAN","TULTITLAN",19.5967,-99.1831,0,0,69541,"7:19:00 p.m.",20210219,-1,"",0,-1,"",0,16476,24,"Trailer"
201822,37166,"Calle Río Danubio","CONAGRA / PQUE. CASTRO DEL RIO / IRAPUATO","IRAPUATO",20.7843,-101.3511,37298,"BENITO JUAREZ","CONAGRA /DISTRIB. ROCHA / TULA HGO","MONTECILLO",0,0,3,1148,62941,"5:29:00 p.m.",20210207,63121,"5:32:00 p.m.",20210207,45601,"12:40:00 p.m.",20210208,44590,24,"Trailer"
200571,38082,"LIB DE NUEVO LAREDO","RYC/ PATIOS FRIO EXPRESS/ NVO LAREDO","NUEVO LAREDO",27.4335,-99.5556,34619,"104 PUENTE","RYC/ PLANTA/ PUEBLA","EL CONDE ",19.0891,-98.1941,0,1871,62941,"5:29:00 p.m.",20210204,62941,"5:29:00 p.m.",20210204,2401,"12:40:00 a.m.",20210206,27441,27,"Rabón"
207823,35599,"SALVATIERRA - CELAYA ","MABE/ CDR/ CELAYA","CELAYA",20.3687,-100.7933,35597,"ZAPOPAN","MABE/ CDR/ GUADALAJARA","ZAPOPAN",20.721,-103.4845,0,435,62941,"5:29:00 p.m.",20210218,62941,"5:29:00 p.m.",20210218,2641,"12:44:00 a.m.",20210219,23374,24,"Trailer"
205899,35596,"TEPEJI DEL RIO DE OCAMPO","MABE/ CDR/ HUEHUETOCA","TEPEJI DEL RIO ",19.8885,-99.2431,35560," Gaspar de Villadiego","MABE/ ORG. MUEBLERA GUERRERO/ MORELIA","Morelia",19.6951,-101.2156,0,1548,62941,"5:29:00 p.m.",20210215,62941,"5:29:00 p.m.",20210215,69421,"7:17:00 p.m.",20210216,21152,18,"Thorton"
207113,34080,"IXMILQUILPAN - ACTOPAN","ROSHFRANS/ PLANTA/ ACTOPAN","ACTOPAN",20.2764,-98.9544,34231,"MEXICO -QUERETARO","ROSHFRANS/ PLANTA/ CEDROS","TEPOZOTLAN",19.7091,-99.2037,6,189,62941,"5:29:00 p.m.",20210217,63301,"5:35:00 p.m.",20210217,74641,"8:44:00 p.m.",20210217,18317,18,"Thorton"
210244,34080,"IXMILQUILPAN - ACTOPAN","ROSHFRANS/ PLANTA/ ACTOPAN","ACTOPAN",20.2764,-98.9544,34231,"MEXICO -QUERETARO","ROSHFRANS/ PLANTA/ CEDROS","TEPOZOTLAN",19.7091,-99.2037,12,0,62941,"5:29:00 p.m.",20210223,63661,"5:41:00 p.m.",20210223,-1,"",0,17598,24,"Trailer"
201935,35602,"COMISION NACIONAL DE ELECTRICI","MABE/ CDR/  SAN LUIS POTOSI","SAN LUIS POTOSI",22.0765,-100.8912,35130,"Huichapan-San Juan del Río","MABE/ PATIO SAN JUAN DEL RIO/ QRO.","san juan del rio",20.3008,-99.8961,0,320,62941,"5:29:00 p.m.",20210207,62941,"5:29:00 p.m.",20210207,82141,"10:49:00 p.m.",20210207,20233,24,"Trailer"
211979,33705,"PROLONGACION SAN LORENZO","MADRILEÑA/ PLANTA MEXICO/ CDMX","CUAUTITLAN IZCALLI",19.7048,-99.2033,33706,"GUADAALAJARA - EL SALTO","MADRILEÑA/ PLANTA GUADALAJARA/ JAL.","GUADALAJARA",20.5622,-103.2859,160,848,63001,"5:30:00 p.m.",20210226,72601,"8:10:00 p.m.",20210226,37081,"10:18:00 a.m.",20210227,45924,24,"Trailer"
208381,38655,"LIBRAMIENTO APALIZADA","AVANTE/ CONF VILLA VICTORIA/ EDOMEX","Villa Victoria",19.4388,-99.9955,38840,"CRUECE FRONTERIZO","AVANTE EXP/ NUEVO LAREDO/ TAMAULIPAS","NUEVO LAREDO",0,0,1,1554,63001,"5:30:00 p.m.",20210219,63061,"5:31:00 p.m.",20210219,69901,"7:25:00 p.m.",20210220,45602,24,"Trailer"
